item,trait,facet,direction
Q4_1,extraversion,sociability,forward
Q4_2,agreeableness,compassion,forward
Q4_3,conscientiousness,organisation,reversed
Q4_4,neg_emotionality,anxiety,reversed
Q4_5,open_minded,aes_sensitivity,reversed
Q4_6,extraversion,assertiveness,forward
Q4_7,agreeableness,respectfulness,forward
Q4_8,conscientiousness,productiveness,reversed
Q4_9,neg_emotionality,depression,reversed
Q4_10,open_minded,curiosity,forward
Q4_11,extraversion,energy,reversed
Q4_12,agreeableness,trust,reversed
Q4_13,conscientiousness,responsibility,forward
Q4_14,neg_emotionality,emo_volitility,forward
Q4_15,open_minded,imagination,forward
Q4_16,extraversion,sociability,reversed
Q4_17,agreeableness,compassion,reversed
Q4_18,conscientiousness,organisation,forward
Q4_19,neg_emotionality,anxiety,forward
Q4_20,open_minded,aes_sensitivity,forward
Q4_21,extraversion,assertiveness,forward
Q4_22,agreeableness,respectfulness,reversed
Q4_23,conscientiousness,productiveness,reversed
Q4_24,neg_emotionality,depression,reversed
Q4_25,open_minded,curiosity,reversed
Q4_26,extraversion,energy,reversed
Q4_27,agreeableness,trust,forward
Q4_28,conscientiousness,responsibility,reversed
Q4_29,neg_emotionality,emo_volitility,reversed
Q4_30,open_minded,imagination,reversed
Q4_31,extraversion,sociability,reversed
Q4_32,agreeableness,compassion,forward
Q4_33,conscientiousness,organisation,forward
Q4_34,neg_emotionality,anxiety,forward
Q4_35,open_minded,aes_sensitivity,forward
Q4_36,extraversion,assertiveness,reversed
Q4_37,agreeableness,respectfulness,reversed
Q4_38,conscientiousness,productiveness,forward
Q4_39,neg_emotionality,depression,forward
Q4_40,open_minded,curiosity,forward
Q4_41,extraversion,energy,forward
Q4_42,agreeableness,trust,reversed
Q4_43,conscientiousness,responsibility,forward
Q4_44,neg_emotionality,emo_volitility,reversed
Q4_45,open_minded,imagination,reversed
Q4_46,extraversion,sociability,forward
Q4_47,agreeableness,compassion,reversed
Q4_48,conscientiousness,organisation,reversed
Q4_49,neg_emotionality,anxiety,reversed
Q4_50,open_minded,aes_sensitivity,reversed
Q4_51,extraversion,assertiveness,reversed
Q4_52,agreeableness,respectfulness,forward
Q4_53,conscientiousness,productiveness,forward
Q4_54,neg_emotionality,depression,forward
Q4_55,open_minded,curiosity,reversed
Q4_56,extraversion,energy,forward
Q4_57,agreeableness,trust,forward
Q4_58,conscientiousness,responsibility,reversed
Q4_59,neg_emotionality,emo_volitility,forward
Q4_60,open_minded,imagination,forward
