item,scoring,response,score
bounce_back_quickly,forward,1,1
bounce_back_quickly,forward,2,2
bounce_back_quickly,forward,3,3
bounce_back_quickly,forward,4,4
bounce_back_quickly,forward,5,5
hard_time_stressful_events,reverse,1,5
hard_time_stressful_events,reverse,2,4
hard_time_stressful_events,reverse,3,3
hard_time_stressful_events,reverse,4,2
hard_time_stressful_events,reverse,5,1
long_to_recover_stress,reverse,1,5
long_to_recover_stress,reverse,2,4
long_to_recover_stress,reverse,3,3
long_to_recover_stress,reverse,4,2
long_to_recover_stress,reverse,5,1
snap_back_difficulty,forward,1,1
snap_back_difficulty,forward,2,2
snap_back_difficulty,forward,3,3
snap_back_difficulty,forward,4,4
snap_back_difficulty,forward,5,5
through_difficult_times,forward,1,1
through_difficult_times,forward,2,2
through_difficult_times,forward,3,3
through_difficult_times,forward,4,4
through_difficult_times,forward,5,5
long_time_over_setbacks,reverse,1,5
long_time_over_setbacks,reverse,2,4
long_time_over_setbacks,reverse,3,3
long_time_over_setbacks,reverse,4,2
long_time_over_setbacks,reverse,5,1
